ID,Tempo,Genre,Dancability,Energy,Valance,Acousticness,Instrumentalness,Liveness,Speechiness,HR perc,HR
Brass Goggles,117,Steampunk,0.467,0.657,0.655,0.736,0,0.356,0.0402,80,158
Stacy's Mom - Karaoke,133,Swing,0.61,0.878,0.758,0.519,0,0.242,0.0498,70,139
One Day More,81,Musical,0.245,0.477,0.262,0.869,0,0.18,0.0316,60,119
Breakfast At Tiffany's,110,Pop rock,0.628,0.829,0.503,0.12,0,0.097,0.829,80,158
Smooth Criminal,118,Pop,0.853,0.981,0.595,0.247,0.468,0.306,0.0751,80,158
Your Reality,105,Adult standard,0.457,0.78,0.406,0.245,0.653,0.156,0.0478,50,99
Prologue,155,Musical,0.349,0.56,0.157,0.192,0.895,0.124,0.0641,60,119
American Pie,138,Adult standard,0.527,0.509,0.497,0.6,0,0.144,0.0628,50,99
Oceano,82,Compositional ambient,0.434,0.354,0.0761,0.959,0.885,0.134,0,90,178
Hello!,100,Musical,0.658,0.506,0.654,0.735,0,0.0469,0.246,60,119
Popular,88,Broadway,0.711,0.231,0.536,0.796,0,0.127,0.212,60,119
Gryffindor Rally Cry,124,Wrock,0.556,0.944,0.598,0,0,0.15,0,80,158
All about that bass,119,Swing,0.603,0.412,0.501,0.643,0,0.229,0,60,119
Gimme That Swing!,204,Swing,0.424,0.768,0.524,0.0656,0,0,0.206,80,158
Want You Gone,100,Game,0.617,0.507,0.879,0,0.0431,0.106,0.0551,50,99
One Foot in front of the Other,117,Dark cabaret,0.541,0.493,0.861,0.565,0,0,0,50,99
Grace Kelly aucoustic,119,Dance pop,0.474,0.627,0.541,0.59,0,0.722,0,70,139
Positive,106,Broadway,0.875,0.413,0.769,0.533,0,0.339,0.185,60,119
I love Rock 'n' Roll,94,Rock,0.535,0.716,0.901,0.326,0,0.659,0,70,139
The nicest kids in town,170,Musical,0.553,0.893,0.768,0.0554,0,0.149,0.184,60,119
irish party in thrid class,152,Celtic,0.227,0.49,0.431,0,0,0.812,0.237,90,178
Here comes a thought,91,Otacore,0.75,0.513,0.471,0.423,0,0.0756,0.0876,50,99
The cat and the moon,107,Desi,0.417,0.787,0.788,0.362,0,0.671,0,80,158
Sweet child o'mine ,125,Glam metal,0.449,0.901,0.696,0.141,0,0.128,0.0526,60,119
Teen Titans Theme,165,J-pop,0.45,0.938,0.722,0,0,0.338,0.0729,60,119
Super Friends,140,Musical,0.493,0.8,0.379,0,0,0.711,0,70,139
Spider-man: Homecoming suite,145,Scorecore,0.202,0.274,0,0.631,0.697,0.147,0,90,178
Blame it on the girls,145,Dance pop,0.759,0.879,0.929,0.0995,0,0.447,0.0706,80,158
How far I'll go,84,Disney,0.576,0.319,0.0921,0.603,0,0.173,0.0518,60,119
To Glory,105,Scorecore,0.36,0.918,0.289,0,0.92,0.274,0.109,90,178
Kick it up a notch,120,Musical,0.599,0.345,0.36,0.468,0,0.115,0.147,60,119
This is berk,123,Scorecore,0.255,0.489,0.3,0.512,0.808,0.229,0,90,178
Over the rainbow,78,Adult standard,0.231,0,0.199,0.901,0,0.153,0,50,99
Fireworks,100,Britisch soundtrack,0.492,0.501,0,0.28,0.893,0.121,0.0489,90,178
Chasing pavements,109,Swing,0.517,0.524,0.53,0.834,0,0.125,0,50,99
Thunderstruck,134,Rock,0.501,0.889,0.257,0,0,0.217,0,80,158
The Industrial Revolution,170,Antiviral pop,0.382,0.618,0.534,0.474,0,0.114,0,60,119
Another day of sun,126,Musical,0.55,0.773,0.726,0.0189,0.00000268,0.868,0.0718,70,139
Hell to your doorstep,162,Germain show tunes,0.336,0.847,0.466,0.133,0.398,0.17,0.0937,60,119
The elements,100,Anthem worship,0.63,0.827,0.241,0,0,0.136,0.104,80,158
Kowalski rag - bonustrack,100,Scorecore,0.442,0,0.161,0.97,0.905,0.226,0,60,119
Pink Fluffy Unicorns Dancing On Rainbows,118,Indie,0.964,0.554,0.855,0.29,0,0.0911,0,50,99
From god's perspetice,87,Antiviral,0.338,0.478,0.357,0.775,0,0.737,0,50,99
Prologue: Into the Woods,131,Musical,0.64,0.266,0.523,0.819,0,0.28,0.406,50,99
Rogues Medley,138,Musical,0.436,0.814,0.372,0.103,0,0.885,0.146,60,119
Spiderwebs,141,Swing,0.338,0.571,0.377,0.853,0,0.41,0,60,119
Stallion,89,Scorecore,0.259,0.688,0.335,0,0.794,0.141,0,90,178
Nine to five,105,Country,0.554,0.783,0.813,0.416,0,0.631,0,70,139
Fix you,138,Pop,0.209,0.418,0.123,0.163,0,0.113,0,60,119
Harry potter in 99 seconds,104,Comic,0.655,0.441,0.736,0.914,0,0.178,0.248,50,99
Mr. blue sky,178,symphonic rock,0.338,0.338,0.477,0.652,0,0.248,0,70,139
We will rock you,81,Rock,0.692,0.488,0.51,0.688,0,0.4,0.104,70,139
I Have a hole in my tooth,160,Pop,0.721,0.499,0.975,0.357,0.867,0,0.0759,60,119
Mr. Greg,125,Otacore,0.872,0.431,0.562,0.171,0,0.281,0.2,50,99
Viva La vida,138,Pop,0.485,0.619,0.416,0.0941,0,0.109,0,60,119
Charleston,125,Jazz,0.754,0.329,0.923,0.996,0.921,0,0.27,70,139
Despacito,94,A cappella,0.691,0.631,0.577,0.0582,0,0.169,0,60,119
Astrid goes for a spin,127,Britisch soundtrack,0.423,0.944,0.145,0,0.861,0.157,0.223,90,178
Mr. cellophane,81,Musical,0.427,0.277,0.292,0.819,0,0.166,0.0461,50,99
Get jinxed,180,Rock,0.434,0.884,0.191,0,0,0.105,0.093,80,158
Piano Man,179,Rock,0.334,0.472,0.431,0.6,0,0.317,0,50,99
Touch the sky,119,Celtic,0.372,0.641,0.33,0.137,0,0.103,0,70,139
Wakko's america,98,Celtic,0.622,0.878,0.95,0.816,0,0.35,0,80,158
Duck tales,177,Comic,0.721,0.439,0.604,0.195,0,0.442,0,80,158
I know a song,65,Celtic,0.508,0.358,0.899,0.774,0,0.228,0,50,99
"You, me and steve",103,Comic,0.735,0.37,0.876,0.882,0,0,0,60,119
Such a loser,92,Comic,0.56,0.354,0.544,0.936,0,0,0,60,119
You two,113,Traditional folk,0.62,0.379,0.584,0.674,0,0,0,50,99
Never split the party,145,Geek folk,0.736,0.491,0.553,0.353,0,0.238,0.1,70,139
You can't pray the gay away,125,Show tunes,0.621,0.478,0.68,0.718,0,0.147,0,70,139
Yo ho (a pirate's life for me),113,Disney,0.542,0.401,0.325,0.802,0,0.442,0.313,60,119
O canada,93,Anthem,0.277,0.183,0.645,0.946,0.902,0,0,50,99
You can't stop the beat,170,Hollywood,0.525,0.94,0.7,0,0,0,0.18,70,139
The french national anthem,120,Anthem,0.451,0.278,0.363,0.918,0.951,0.221,0,50,99
The man who broke the bank at monte carlo,119,Adult standards,0.632,0.424,0.935,0.713,0,0.258,0,80,158
In the hall of the mountain king,113,Classical,0.436,0,0.2,0.842,0.151,0.117,0,80,158
Web-slinger/hope-bringer,142,Comic,0.558,0.906,0.62,0.11,0,0.108,0,80,158
Jimmy and sally,160,Antiviral pop,0.312,0.921,0.54,0,0,0.307,0.0986,80,158
Heart and soul,122,Classic rock,0.669,0.801,0.936,0,0,0,0,70,139
Everything stops for tea,116,Steampunk,0.794,0.808,0.849,0.35,0,0.113,0.129,70,139
He's a pirate,71,Scorecore,0.465,0.687,0.13,0,0.929,0,0,90,178
I'm british,92,Steampunk,0.769,0.885,0.533,0.194,0,0.127,0.311,60,119
Colors of the wind,63,Hollywood,0.249,0.17,0.219,0.933,0,0.103,0,60,119
Signature/main title,133,Adult standard,0.478,0.207,0.422,0.384,0,0.0976,0,80,158
Turn the world around,103,Adult standard,0.722,0.619,0.91,0.502,0,0,0,70,139
Burning love,144,Adult standard,0.66,0.748,0.972,0.0993,0,0.283,0,70,139
We go together,111,Hollywood,0.715,0.885,0.773,0.173,0,0.723,0.199,60,119
Evelyn evelyn,180,Steampunk,0.321,0.231,0.149,0.821,0,0.101,0,50,99
You're never fully dressed without a smile,78,Dance pop,0.499,0.964,0.46,0,0,0.111,0.238,50,99
My neighbor totoro,78,Comic,0.365,0.173,0.606,0.246,0,0.128,0,60,119
The geeks will inherit the earth,76,Antiviral pop,0.491,0.935,0.589,0,0,0.376,0,70,139
No motherland without you,119,Power noise,0.407,0.617,0.596,0.917,0.799,0.532,0,90,178
Do it 4 yrself,128,Acoustic punk,0.85,0.478,0.902,0.918,0,0.652,0.186,70,139
The day my powers arrived,91,Comic,0.562,0.826,0.623,0.181,0,0,0,80,158
Oo-de-lally,80,Comic,0.707,0.478,0.883,0.919,0,0.103,0,50,99
Ballad of serenity,77,Delta blues,0.463,0.332,0.203,0.838,0,0,0,50,99
"Goodbye summer, hello winter",154,Chiptune,0.525,0.863,0.616,0,0.854,0.328,0,80,158
Call me beep me,120,Dance pop,0.867,0.754,0.891,0,0,0,0,70,139
My neighbour totoro suite,150,Anime,0.291,0.176,188,0.929,0.698,0.205,0,60,119
When you're good to mama,172,Hollywood,0.517,0.429,0.436,0.448,0,0.109,0.107,60,119
HIGHLIGHTS FROM MY NEIGBOUR TOTORO,146,Anime,0.224,0.139,0,0.935,0.871,0,0,60,119
Rattlesnake,110,Dark cabaret,0.769,0.694,0.766,0.212,0,0,0,70,139
You're the one that I want,107,Hollywood,0.743,0.774,0.833,0.256,0,0.156,0,70,139
Randy dandy-oh,114,Celtic rock,0.81,0.446,0.914,0.873,0,0.442,0,60,119
Witch doctor,131,Children's,0.832,0.579,0.969,0.681,0,0,0,80,158
I wanna be like you,97,Adult standard,0.74,0.447,0.778,0.659,0,0.225,0.114,60,119
Fast food song,130,Bubblegum,0.766,0.992,0.961,0,0,0.317,0,80,158
Still late,102,Nerdcore,0.769,0.63,0.452,0.584,0,0,0,60,119
"Yes, we have no bananas",103,Adult standard,0.605,0.369,0.682,0.903,0,0.129,0.106,50,99
I am my own grandpa,203,Cowboy,0.474,0.33,0.471,0.93,0,0.103,0,50,99
Sing alleluia clap your hands,126,Children's choir,0.374,0.528,0.383,0.778,0,0.232,0.0414,60,119
